customer_id,customer_name,recency,frequency,monetary,churn,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Code,Customer_Segment,Recency_Group,Frequency_Group,Monetary_Group
275,Eric Bond,94,10,26491,1,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High
285,Kevin Griffith,426,6,16150,1,2,4,4,10,244,At Risk,365+ Days,6-10 Purchases,High
295,Alexander Strickland,197,9,27737,1,3,5,5,13,355,Loyal Customers,181-365 Days,6-10 Purchases,Very High
296,Shawn Osborne,132,7,20804,1,4,4,5,13,445,Champions,91-180 Days,6-10 Purchases,Very High
314,Lindsey Craig,78,8,18933,1,4,5,4,13,454,Champions,61-90 Days,6-10 Purchases,High
319,Sarah Keith,37,10,23082,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High
321,Stacy Schultz,136,5,18387,1,4,3,4,11,434,Potential Loyalists,91-180 Days,3-5 Purchases,High
352,Patrick Williams,180,8,19887,1,3,5,5,13,355,Loyal Customers,91-180 Days,6-10 Purchases,Very High
370,John Smith DDS,162,9,25741,1,3,5,5,13,355,Loyal Customers,91-180 Days,6-10 Purchases,Very High
375,Jason Shelton,218,7,16251,1,3,4,4,11,344,Loyal Customers,181-365 Days,6-10 Purchases,High
376,Trevor Wiley,568,8,28434,1,1,5,5,11,155,At Risk,365+ Days,6-10 Purchases,Very High
387,Elizabeth Thompson,34,11,36989,1,5,5,5,15,555,Champions,31-60 Days,10+ Purchases,Very High
389,Andrew Ryan,23,7,15497,1,5,4,4,13,544,Champions,0-30 Days,6-10 Purchases,High
396,Kimberly Stewart,49,6,17647,1,5,4,4,13,544,Champions,31-60 Days,6-10 Purchases,High
443,Cody Barajas,7,8,26062,1,5,5,5,15,555,Champions,0-30 Days,6-10 Purchases,Very High
446,Thomas Lewis,98,9,22465,1,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High
488,Jasmin Greer,160,7,21330,1,3,4,5,12,345,Loyal Customers,91-180 Days,6-10 Purchases,Very High
506,Mark Smith,53,9,16383,1,5,5,4,14,554,Champions,31-60 Days,6-10 Purchases,High
524,Brian Underwood,391,6,22116,1,2,4,5,11,245,At Risk,365+ Days,6-10 Purchases,Very High
529,Jeremy Castillo,110,6,18297,1,4,4,4,12,444,Champions,91-180 Days,6-10 Purchases,High
531,Kevin Novak,110,5,15206,1,4,3,4,11,434,Potential Loyalists,91-180 Days,3-5 Purchases,High
541,Carlos Poole,95,7,16195,1,4,4,4,12,444,Champions,91-180 Days,6-10 Purchases,High
545,Beth Smith,100,6,16230,1,4,4,4,12,444,Champions,91-180 Days,6-10 Purchases,High
587,Roger Franklin,6,7,20708,1,5,4,5,14,545,Champions,0-30 Days,6-10 Purchases,Very High
592,Jeffrey Arellano,292,9,21753,1,2,5,5,12,255,At Risk,181-365 Days,6-10 Purchases,Very High
609,Terri Douglas,163,9,26548,1,3,5,5,13,355,Loyal Customers,91-180 Days,6-10 Purchases,Very High
634,Nathan Le,137,7,24909,1,4,4,5,13,445,Champions,91-180 Days,6-10 Purchases,Very High
638,Dean Bauer,88,8,19958,1,4,5,5,14,455,Champions,61-90 Days,6-10 Purchases,Very High
651,Heather Hodges,649,5,15328,1,1,3,4,8,134,At Risk,365+ Days,3-5 Purchases,High
665,Michael Garcia,94,9,27161,1,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High
677,Jamie Hall,91,8,25693,1,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High
681,Dr. Kenneth Shields,49,7,27789,1,5,4,5,14,545,Champions,31-60 Days,6-10 Purchases,Very High
696,Kelsey Evans,70,6,14888,1,4,4,4,12,444,Champions,61-90 Days,6-10 Purchases,High
707,Brooke Barry,267,7,15401,1,2,4,4,10,244,At Risk,181-365 Days,6-10 Purchases,High
714,Jessica Garcia,66,6,18342,1,4,4,4,12,444,Champions,61-90 Days,6-10 Purchases,High
780,Ryan Hendricks,118,8,17750,1,4,5,4,13,454,Champions,91-180 Days,6-10 Purchases,High
815,Michelle Powers,48,9,25303,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High
819,Colin Jackson,205,9,28483,1,3,5,5,13,355,Loyal Customers,181-365 Days,6-10 Purchases,Very High
822,Anthony Adams,302,7,15392,1,2,4,4,10,244,At Risk,181-365 Days,6-10 Purchases,High
823,John Lin,248,7,19311,1,2,4,5,11,245,At Risk,181-365 Days,6-10 Purchases,Very High
832,Sabrina Duncan,91,6,19927,1,4,4,5,13,445,Champions,91-180 Days,6-10 Purchases,Very High
834,Justin Crosby,78,8,22999,1,4,5,5,14,455,Champions,61-90 Days,6-10 Purchases,Very High
844,Joshua Terrell,7,8,26850,1,5,5,5,15,555,Champions,0-30 Days,6-10 Purchases,Very High
897,Adam Higgins,93,7,22362,1,4,4,5,13,445,Champions,91-180 Days,6-10 Purchases,Very High
907,Brianna Frost,55,5,16527,1,5,3,4,12,534,Potential Loyalists,31-60 Days,3-5 Purchases,High
914,Nichole Collins,340,7,20253,1,2,4,5,11,245,At Risk,181-365 Days,6-10 Purchases,Very High
944,Caroline Alvarado,137,6,18745,1,4,4,4,12,444,Champions,91-180 Days,6-10 Purchases,High
953,Randy Roberts,144,7,23228,1,3,4,5,12,345,Loyal Customers,91-180 Days,6-10 Purchases,Very High
958,Mark Williams,741,4,15166,1,1,2,4,7,124,Need Attention,365+ Days,3-5 Purchases,High
980,Melissa Knox,39,8,26327,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High
1027,Jordan Evans,91,12,24980,1,4,5,5,14,455,Champions,91-180 Days,10+ Purchases,Very High
1060,Jeffery Smith,181,8,20932,1,3,5,5,13,355,Loyal Customers,181-365 Days,6-10 Purchases,Very High
1070,Brenda Eaton,71,7,16663,1,4,4,4,12,444,Champions,61-90 Days,6-10 Purchases,High
1078,Miranda Davis,192,11,24693,1,3,5,5,13,355,Loyal Customers,181-365 Days,10+ Purchases,Very High
1099,Edwin Graham,13,6,15577,1,5,4,4,13,544,Champions,0-30 Days,6-10 Purchases,High
1104,Ronald Edwards,501,8,20760,1,1,5,5,11,155,At Risk,365+ Days,6-10 Purchases,Very High
1107,Daniel Wallace,68,6,15239,1,4,4,4,12,444,Champions,61-90 Days,6-10 Purchases,High
1108,Joseph Lynch,352,7,15741,1,2,4,4,10,244,At Risk,181-365 Days,6-10 Purchases,High
1111,Daniel Braun,28,8,21872,1,5,5,5,15,555,Champions,0-30 Days,6-10 Purchases,Very High
1123,Jamie Gutierrez,362,10,23407,1,2,5,5,12,255,At Risk,181-365 Days,6-10 Purchases,Very High
1133,Charles Mclaughlin,24,8,25731,1,5,5,5,15,555,Champions,0-30 Days,6-10 Purchases,Very High
1143,Rebecca Gilmore,508,7,18372,1,1,4,4,9,144,At Risk,365+ Days,6-10 Purchases,High
1161,Frank Bender,416,9,24138,1,2,5,5,12,255,At Risk,365+ Days,6-10 Purchases,Very High
1164,Whitney Anderson,372,7,15360,1,2,4,4,10,244,At Risk,365+ Days,6-10 Purchases,High
1177,Amanda Frey,240,6,21465,1,3,4,5,12,345,Loyal Customers,181-365 Days,6-10 Purchases,Very High
1185,Julie Russo,76,6,20410,1,4,4,5,13,445,Champions,61-90 Days,6-10 Purchases,Very High
1193,Rebecca Clark,238,6,20437,1,3,4,5,12,345,Loyal Customers,181-365 Days,6-10 Purchases,Very High
1202,Sarah Dixon,52,7,19684,1,5,4,5,14,545,Champions,31-60 Days,6-10 Purchases,Very High
1211,Ms. Tiffany Robinson,124,5,18067,1,4,3,4,11,434,Potential Loyalists,91-180 Days,3-5 Purchases,High
1213,Kimberly Ortega,193,8,23982,1,3,5,5,13,355,Loyal Customers,181-365 Days,6-10 Purchases,Very High
1214,Timothy Yates,312,8,24283,1,2,5,5,12,255,At Risk,181-365 Days,6-10 Purchases,Very High
1217,Michelle Diaz,100,9,24356,1,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High
1222,Molly Miller,214,7,17456,1,3,4,4,11,344,Loyal Customers,181-365 Days,6-10 Purchases,High
1224,Gina Butler,196,5,16220,1,3,3,4,10,334,Need Attention,181-365 Days,3-5 Purchases,High
1226,Jennifer Hernandez,69,9,21736,1,4,5,5,14,455,Champions,61-90 Days,6-10 Purchases,Very High
1285,Kenneth Burgess,273,9,26841,1,2,5,5,12,255,At Risk,181-365 Days,6-10 Purchases,Very High
1311,Christy Kim,14,9,20373,1,5,5,5,15,555,Champions,0-30 Days,6-10 Purchases,Very High
1317,Mrs. Martha Thomas,145,11,31367,1,3,5,5,13,355,Loyal Customers,91-180 Days,10+ Purchases,Very High
1337,Emily Boone DVM,205,6,19728,1,3,4,5,12,345,Loyal Customers,181-365 Days,6-10 Purchases,Very High
1341,Dr. Jeffrey Heath,71,7,22181,1,4,4,5,13,445,Champions,61-90 Days,6-10 Purchases,Very High
1342,Vincent Black,50,9,28997,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High
1370,Kelsey Schwartz,222,8,17773,1,3,5,4,12,354,Loyal Customers,181-365 Days,6-10 Purchases,High
1374,Evelyn Fox,37,8,23055,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High
1385,Laurie Cantrell,53,8,22196,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High
1402,Jeffery Marshall,386,5,19604,1,2,3,5,10,235,At Risk,365+ Days,3-5 Purchases,Very High
1408,Steven Ibarra,63,7,26231,1,4,4,5,13,445,Champions,61-90 Days,6-10 Purchases,Very High
1416,Elizabeth Mathis,165,7,17386,1,3,4,4,11,344,Loyal Customers,91-180 Days,6-10 Purchases,High
1417,Steve Mason,63,10,32098,1,4,5,5,14,455,Champions,61-90 Days,6-10 Purchases,Very High
1425,Joseph Campbell,5,6,16382,1,5,4,4,13,544,Champions,0-30 Days,6-10 Purchases,High
1427,Alexander Boyer,34,8,22394,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High
1429,Donna Jennings,0,10,20805,1,5,5,5,15,555,Champions,0-30 Days,6-10 Purchases,Very High
1430,Heather Ferguson,199,7,23979,1,3,4,5,12,345,Loyal Customers,181-365 Days,6-10 Purchases,Very High
1447,Christopher Keller,9,7,20035,1,5,4,5,14,545,Champions,0-30 Days,6-10 Purchases,Very High
1471,Sarah Sexton,15,6,16553,1,5,4,4,13,544,Champions,0-30 Days,6-10 Purchases,High
1495,Anna Rodriguez,328,8,19846,1,2,5,5,12,255,At Risk,181-365 Days,6-10 Purchases,Very High
1534,Larry Carrillo,25,7,21558,1,5,4,5,14,545,Champions,0-30 Days,6-10 Purchases,Very High
1546,Robert Murray,103,10,24587,1,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High
1562,Michelle Powell,45,4,15127,1,5,2,4,11,524,Potential Loyalists,31-60 Days,3-5 Purchases,High
1568,Jill Taylor,300,8,17703,1,2,5,4,11,254,At Risk,181-365 Days,6-10 Purchases,High
1577,Amy Ritter,12,6,17605,1,5,4,4,13,544,Champions,0-30 Days,6-10 Purchases,High
1586,Francis Evans,113,6,15296,1,4,4,4,12,444,Champions,91-180 Days,6-10 Purchases,High
1599,Melissa Brown,22,6,20336,1,5,4,5,14,545,Champions,0-30 Days,6-10 Purchases,Very High
1619,Shawn Hancock,154,7,15289,1,3,4,4,11,344,Loyal Customers,91-180 Days,6-10 Purchases,High
1629,David Wheeler,610,3,15170,1,1,1,4,6,114,Need Attention,365+ Days,3-5 Purchases,High
1647,Holly Barrett,13,7,16100,1,5,4,4,13,544,Champions,0-30 Days,6-10 Purchases,High
1653,Kristen Nguyen,37,10,28471,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High
1664,Paul Taylor,136,7,17167,1,4,4,4,12,444,Champions,91-180 Days,6-10 Purchases,High
1672,Bradley Walker,28,6,16436,1,5,4,4,13,544,Champions,0-30 Days,6-10 Purchases,High
1696,Mrs. Erin Hoffman,484,6,14825,1,1,4,4,9,144,At Risk,365+ Days,6-10 Purchases,High
1701,Michelle Wolfe,311,7,20314,1,2,4,5,11,245,At Risk,181-365 Days,6-10 Purchases,Very High
1715,Jason Miller,52,9,22845,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High
1743,Scott Rodriguez,63,8,24398,1,4,5,5,14,455,Champions,61-90 Days,6-10 Purchases,Very High
1750,Michael Brown,56,8,18887,1,5,5,4,14,554,Champions,31-60 Days,6-10 Purchases,High
1761,Patricia Butler,130,7,21407,1,4,4,5,13,445,Champions,91-180 Days,6-10 Purchases,Very High
1771,Jessica Brown,184,10,28561,1,3,5,5,13,355,Loyal Customers,181-365 Days,6-10 Purchases,Very High
1816,Dr. Daniel Campbell,173,6,20324,1,3,4,5,12,345,Loyal Customers,91-180 Days,6-10 Purchases,Very High
1853,Jennifer Pennington,134,6,16621,1,4,4,4,12,444,Champions,91-180 Days,6-10 Purchases,High
1858,Laura Johnson,88,5,17245,1,4,3,4,11,434,Potential Loyalists,61-90 Days,3-5 Purchases,High
1862,Christopher Smith,240,9,20704,1,3,5,5,13,355,Loyal Customers,181-365 Days,6-10 Purchases,Very High
1863,Tanya Lopez,42,10,24308,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High
1882,Nathan Stevens,6,10,25375,1,5,5,5,15,555,Champions,0-30 Days,6-10 Purchases,Very High
1893,Christopher Hughes,42,7,15245,1,5,4,4,13,544,Champions,31-60 Days,6-10 Purchases,High
1897,Michael Thomas,145,6,20210,1,3,4,5,12,345,Loyal Customers,91-180 Days,6-10 Purchases,Very High
1900,Dawn Bennett,88,10,36969,1,4,5,5,14,455,Champions,61-90 Days,6-10 Purchases,Very High
1903,Breanna Ross,116,7,23496,1,4,4,5,13,445,Champions,91-180 Days,6-10 Purchases,Very High
1927,Teresa Zavala,169,7,24465,1,3,4,5,12,345,Loyal Customers,91-180 Days,6-10 Purchases,Very High
1966,Andrew Eaton,136,9,25483,1,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High
1975,Heather Kent,260,7,23146,1,2,4,5,11,245,At Risk,181-365 Days,6-10 Purchases,Very High
1977,Cole Dominguez,182,9,30622,1,3,5,5,13,355,Loyal Customers,181-365 Days,6-10 Purchases,Very High
2067,Allison Hendricks,209,8,23087,1,3,5,5,13,355,Loyal Customers,181-365 Days,6-10 Purchases,Very High
2083,Tiffany Powell,64,5,17893,1,4,3,4,11,434,Potential Loyalists,61-90 Days,3-5 Purchases,High
2084,Norman Ward,62,5,20223,1,4,3,5,12,435,Potential Loyalists,61-90 Days,3-5 Purchases,Very High
2097,Alexandra Bryant,140,8,25147,1,3,5,5,13,355,Loyal Customers,91-180 Days,6-10 Purchases,Very High
2099,Nicole Petty PhD,48,11,24639,1,5,5,5,15,555,Champions,31-60 Days,10+ Purchases,Very High
2122,Trevor Harris,251,6,18085,1,2,4,4,10,244,At Risk,181-365 Days,6-10 Purchases,High
2137,Angel Mcdowell,96,8,29654,1,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High
2140,Thomas Larson,49,5,15015,1,5,3,4,12,534,Potential Loyalists,31-60 Days,3-5 Purchases,High
2143,Jay Alvarez,83,9,25872,1,4,5,5,14,455,Champions,61-90 Days,6-10 Purchases,Very High
2162,William Ramos,93,6,20429,1,4,4,5,13,445,Champions,91-180 Days,6-10 Purchases,Very High
2171,Michael Peters III,53,9,26558,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High
2180,Jerry Cobb,6,6,23400,1,5,4,5,14,545,Champions,0-30 Days,6-10 Purchases,Very High
2183,Jill Short,101,7,17704,1,4,4,4,12,444,Champions,91-180 Days,6-10 Purchases,High
2192,Stephanie Smith,14,6,21232,1,5,4,5,14,545,Champions,0-30 Days,6-10 Purchases,Very High
2204,Aaron Murray,257,5,16586,1,2,3,4,9,234,At Risk,181-365 Days,3-5 Purchases,High
2215,Karen Silva,175,11,27282,1,3,5,5,13,355,Loyal Customers,91-180 Days,10+ Purchases,Very High
2216,Maria Hansen,160,6,18176,1,3,4,4,11,344,Loyal Customers,91-180 Days,6-10 Purchases,High
2218,Virginia Lewis,56,9,21141,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High
2224,Sheila Mclaughlin,228,5,18034,1,3,3,4,10,334,Need Attention,181-365 Days,3-5 Purchases,High
2238,Linda Cox,109,6,23497,1,4,4,5,13,445,Champions,91-180 Days,6-10 Purchases,Very High
2247,Deborah Larsen,27,12,39314,1,5,5,5,15,555,Champions,0-30 Days,10+ Purchases,Very High
2261,Ronald Ortega PhD,157,5,19052,1,3,3,4,10,334,Need Attention,91-180 Days,3-5 Purchases,High
2319,Mark Osborne DDS,319,9,23243,1,2,5,5,12,255,At Risk,181-365 Days,6-10 Purchases,Very High
2328,Jennifer Brown,179,7,31704,1,3,4,5,12,345,Loyal Customers,91-180 Days,6-10 Purchases,Very High
2352,Karen Ray,814,6,16783,1,1,4,4,9,144,At Risk,365+ Days,6-10 Purchases,High
2358,Debra Green,9,9,27108,1,5,5,5,15,555,Champions,0-30 Days,6-10 Purchases,Very High
2376,Angela Foster,574,4,18497,1,1,2,4,7,124,Need Attention,365+ Days,3-5 Purchases,High
2390,Lori Daniels,9,4,15374,1,5,2,4,11,524,Potential Loyalists,0-30 Days,3-5 Purchases,High
2409,Angela Davidson,91,5,17667,1,4,3,4,11,434,Potential Loyalists,91-180 Days,3-5 Purchases,High
2416,Jason Cox MD,522,5,16727,1,1,3,4,8,134,At Risk,365+ Days,3-5 Purchases,High
2426,Nicole Greene,512,11,25592,1,1,5,5,11,155,At Risk,365+ Days,10+ Purchases,Very High
2433,Haley Monroe,66,7,20299,1,4,4,5,13,445,Champions,61-90 Days,6-10 Purchases,Very High
2441,Kari Robertson,81,7,18783,1,4,4,4,12,444,Champions,61-90 Days,6-10 Purchases,High
2459,Brian Stuart,74,11,23110,1,4,5,5,14,455,Champions,61-90 Days,10+ Purchases,Very High
2460,Dr. Betty Peters MD,230,6,19812,1,3,4,5,12,345,Loyal Customers,181-365 Days,6-10 Purchases,Very High
2469,Lawrence Garza,233,5,15625,1,3,3,4,10,334,Need Attention,181-365 Days,3-5 Purchases,High
2487,Mrs. Wendy Smith,59,5,16236,1,5,3,4,12,534,Potential Loyalists,31-60 Days,3-5 Purchases,High
2522,Juan Gross,11,5,16597,1,5,3,4,12,534,Potential Loyalists,0-30 Days,3-5 Purchases,High
2538,Miss Sophia Hoffman,191,11,20385,1,3,5,5,13,355,Loyal Customers,181-365 Days,10+ Purchases,Very High
2546,Keith Lopez,78,7,18222,1,4,4,4,12,444,Champions,61-90 Days,6-10 Purchases,High
2558,Joseph Patel,186,7,20742,1,3,4,5,12,345,Loyal Customers,181-365 Days,6-10 Purchases,Very High
2560,Michelle Graham,405,5,15145,1,2,3,4,9,234,At Risk,365+ Days,3-5 Purchases,High
2603,Amy Stout,201,5,17745,1,3,3,4,10,334,Need Attention,181-365 Days,3-5 Purchases,High
2606,Alfred Young,141,6,22293,1,3,4,5,12,345,Loyal Customers,91-180 Days,6-10 Purchases,Very High
2611,Jessica Smith,617,5,19768,1,1,3,5,9,135,At Risk,365+ Days,3-5 Purchases,Very High
2624,Daniel Hart,148,5,16485,1,3,3,4,10,334,Need Attention,91-180 Days,3-5 Purchases,High
2629,Wayne Walton,79,10,24408,1,4,5,5,14,455,Champions,61-90 Days,6-10 Purchases,Very High
2644,Larry Mitchell,289,6,19070,1,2,4,4,10,244,At Risk,181-365 Days,6-10 Purchases,High
2692,Luis Wilcox,561,5,14976,1,1,3,4,8,134,At Risk,365+ Days,3-5 Purchases,High
2698,Walter Hughes,341,9,21018,1,2,5,5,12,255,At Risk,181-365 Days,6-10 Purchases,Very High
2712,Samantha Mendez,605,5,16149,1,1,3,4,8,134,At Risk,365+ Days,3-5 Purchases,High
2730,Terry Sparks,145,13,31775,1,3,5,5,13,355,Loyal Customers,91-180 Days,10+ Purchases,Very High
2773,Veronica Bailey,54,10,24787,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High
2786,Traci Hill,288,5,15162,1,2,3,4,9,234,At Risk,181-365 Days,3-5 Purchases,High
2788,Kelly Buck,277,6,18297,1,2,4,4,10,244,At Risk,181-365 Days,6-10 Purchases,High
2793,Shawn Curry,30,5,15570,1,5,3,4,12,534,Potential Loyalists,0-30 Days,3-5 Purchases,High
2808,Brian Velasquez,262,10,21963,1,2,5,5,12,255,At Risk,181-365 Days,6-10 Purchases,Very High
2832,William Riggs,782,5,21363,1,1,3,5,9,135,At Risk,365+ Days,3-5 Purchases,Very High
2833,Jennifer Pham,333,11,28554,1,2,5,5,12,255,At Risk,181-365 Days,10+ Purchases,Very High
2837,Kristine Charles,76,6,19270,1,4,4,4,12,444,Champions,61-90 Days,6-10 Purchases,High
2854,Tanya Nichols,31,7,19915,1,5,4,5,14,545,Champions,31-60 Days,6-10 Purchases,Very High
2921,Lisa Scott,344,6,21201,1,2,4,5,11,245,At Risk,181-365 Days,6-10 Purchases,Very High
2926,Amy Ford,115,7,16952,1,4,4,4,12,444,Champions,91-180 Days,6-10 Purchases,High
2927,David Cross,119,8,29161,1,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High
2943,Dana White,169,8,24450,1,3,5,5,13,355,Loyal Customers,91-180 Days,6-10 Purchases,Very High
2946,Danielle Moyer,202,9,22415,1,3,5,5,13,355,Loyal Customers,181-365 Days,6-10 Purchases,Very High
2954,Cynthia Holt,126,8,25423,1,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High
2965,April Richardson,278,5,16504,1,2,3,4,9,234,At Risk,181-365 Days,3-5 Purchases,High
3011,Richard Hamilton,328,6,21541,1,2,4,5,11,245,At Risk,181-365 Days,6-10 Purchases,Very High
3012,Terry Daniels,148,5,14914,1,3,3,4,10,334,Need Attention,91-180 Days,3-5 Purchases,High
3015,Elizabeth Archer,222,5,15742,1,3,3,4,10,334,Need Attention,181-365 Days,3-5 Purchases,High
3025,Jesse Wilson,68,7,23210,1,4,4,5,13,445,Champions,61-90 Days,6-10 Purchases,Very High
3057,Craig Hanna,218,5,19608,1,3,3,5,11,335,Need Attention,181-365 Days,3-5 Purchases,Very High
3059,Amy Spencer,26,6,17055,1,5,4,4,13,544,Champions,0-30 Days,6-10 Purchases,High
3072,Debra Harris,51,9,23806,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High
3085,Patricia Byrd,538,6,21048,1,1,4,5,10,145,At Risk,365+ Days,6-10 Purchases,Very High
3100,Danielle White,195,6,17647,1,3,4,4,11,344,Loyal Customers,181-365 Days,6-10 Purchases,High
3135,Angela Hubbard,76,10,27015,1,4,5,5,14,455,Champions,61-90 Days,6-10 Purchases,Very High
3140,Karen Hughes,17,9,22261,1,5,5,5,15,555,Champions,0-30 Days,6-10 Purchases,Very High
3145,Adriana Cunningham,9,5,15312,1,5,3,4,12,534,Potential Loyalists,0-30 Days,3-5 Purchases,High
3175,Lisa Davis,91,7,15016,1,4,4,4,12,444,Champions,91-180 Days,6-10 Purchases,High
3209,Theresa Smith,61,6,19320,1,4,4,5,13,445,Champions,61-90 Days,6-10 Purchases,Very High
3212,Crystal Reid,54,4,17172,1,5,2,4,11,524,Potential Loyalists,31-60 Days,3-5 Purchases,High
3218,Emily Gardner,173,11,28032,1,3,5,5,13,355,Loyal Customers,91-180 Days,10+ Purchases,Very High
3234,Cynthia Arias,465,5,20145,1,1,3,5,9,135,At Risk,365+ Days,3-5 Purchases,Very High
3272,George Black,32,6,17254,1,5,4,4,13,544,Champions,31-60 Days,6-10 Purchases,High
3273,Alyssa Douglas,133,6,15782,1,4,4,4,12,444,Champions,91-180 Days,6-10 Purchases,High
3277,Jesse Chang,147,7,15273,1,3,4,4,11,344,Loyal Customers,91-180 Days,6-10 Purchases,High
3279,Troy Lynch,78,5,18737,1,4,3,4,11,434,Potential Loyalists,61-90 Days,3-5 Purchases,High
3282,Amanda Morales,470,7,17961,1,1,4,4,9,144,At Risk,365+ Days,6-10 Purchases,High
3291,Anthony Cunningham,320,9,30205,1,2,5,5,12,255,At Risk,181-365 Days,6-10 Purchases,Very High
3293,Kelly Castillo,247,8,29021,1,2,5,5,12,255,At Risk,181-365 Days,6-10 Purchases,Very High
3303,Barbara Wilson,271,5,15989,1,2,3,4,9,234,At Risk,181-365 Days,3-5 Purchases,High
3314,Christopher Morales,22,6,14926,1,5,4,4,13,544,Champions,0-30 Days,6-10 Purchases,High
3321,Meredith Ryan,125,9,18393,1,4,5,4,13,454,Champions,91-180 Days,6-10 Purchases,High
3337,Gerald Knapp,237,8,27084,1,3,5,5,13,355,Loyal Customers,181-365 Days,6-10 Purchases,Very High
3350,Eric Gonzalez,109,8,21588,1,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High
3359,Karla Hansen,193,7,20506,1,3,4,5,12,345,Loyal Customers,181-365 Days,6-10 Purchases,Very High
3362,Stephanie Sutton,305,6,15371,1,2,4,4,10,244,At Risk,181-365 Days,6-10 Purchases,High
