customer_id,customer_name,total_spend,purchase_frequency,total_quantity,average_order_value,average_product_price,first_purchase_date,last_purchase_date,total_returns,churn,recency,customer_tenure_days,customer_tenure_months,return_rate,return_rate_pct,customer_age,gender,preferred_category,preferred_payment_method
100,Samantha Booth,9175,3,7,3058.3333333333335,206.66666666666666,2020-08-04 16:01:15,2023-08-06 13:47:10,2.0,0,39,1096,36.5,0.6666666666666666,66.67,42,Female,Books,Crypto
101,Michael Howard,8932,5,15,1786.4,266.2,2020-04-18 22:00:55,2023-02-25 01:34:24,1.0,1,202,1042,34.7,0.2,20.0,65,Female,Books,Credit Card
102,Robert Craig,8200,5,12,1640.0,202.2,2020-06-05 12:41:11,2021-11-09 14:22:51,2.0,1,674,522,17.4,0.4,40.0,18,Male,Books,Credit Card
103,Jerry Snyder,15288,6,23,2548.0,216.83333333333334,2020-03-17 23:13:51,2022-05-16 14:58:38,2.0,0,486,789,26.3,0.3333333333333333,33.33,20,Female,Clothing,Credit Card
104,Nicole Best,8740,4,12,2185.0,274.75,2020-01-09 18:59:23,2021-05-19 08:23:23,3.0,0,849,495,16.5,0.75,75.0,70,Male,Clothing,Credit Card
105,Maria Hudson,14282,5,15,2856.4,115.4,2021-10-31 23:07:30,2023-06-18 06:01:09,1.0,1,89,594,19.8,0.2,20.0,32,Male,Books,Credit Card
106,Vickie Griffin,25190,6,19,4198.333333333333,250.83333333333334,2020-03-21 14:09:22,2023-09-08 10:18:56,3.0,0,7,1265,42.2,0.5,50.0,59,Female,Books,Cash
107,Margaret Parks,11656,5,17,2331.2,306.0,2020-02-15 18:41:53,2023-01-10 14:47:02,1.0,0,247,1059,35.3,0.2,20.0,18,Male,Clothing,Credit Card
108,Andrea Smith,19997,6,20,3332.8333333333335,197.66666666666666,2022-05-17 01:30:30,2023-09-05 22:41:08,1.0,0,9,476,15.9,0.16666666666666666,16.67,32,Female,Books,Credit Card
109,Matthew Bennett,13786,5,17,2757.2,225.4,2021-04-04 20:26:23,2023-07-20 18:45:16,3.0,0,56,836,27.9,0.6,60.0,27,Female,Clothing,PayPal
110,Cynthia Sanchez,20022,6,20,3337.0,226.83333333333334,2020-04-22 23:57:13,2023-01-01 21:29:13,2.0,0,256,983,32.8,0.3333333333333333,33.33,52,Male,Electronics,Cash
111,Joseph Lynch,16366,5,9,3273.2,264.8,2020-02-24 16:39:00,2022-10-26 17:44:30,2.0,0,323,975,32.5,0.4,40.0,26,Male,Clothing,Credit Card
112,Rodney Warner,9670,6,24,1611.6666666666667,237.83333333333334,2020-07-12 23:55:00,2022-10-11 23:54:15,3.0,0,338,820,27.3,0.5,50.0,44,Male,Books,PayPal
113,James Williams,19076,7,26,2725.1428571428573,167.0,2020-01-27 00:22:03,2023-06-18 00:13:58,5.0,0,89,1237,41.2,0.7142857142857143,71.43,36,Male,Clothing,Cash
114,Antonio Estes,11741,4,8,2935.25,317.75,2020-03-28 18:32:33,2022-10-17 03:58:19,1.0,0,333,932,31.1,0.25,25.0,39,Male,Books,Cash
115,Lisa Black,10746,5,21,2149.2,271.0,2020-07-15 17:23:43,2020-12-31 15:39:27,2.0,0,987,168,5.6,0.4,40.0,25,Male,Books,Credit Card
116,Alicia Davis,15076,5,11,3015.2,197.2,2021-01-15 02:13:33,2021-08-09 01:37:20,3.0,0,767,205,6.8,0.6,60.0,37,Female,Books,Credit Card
117,Melissa Mitchell,15312,4,12,3828.0,212.5,2021-06-30 13:08:50,2022-01-02 13:36:58,4.0,0,620,186,6.2,1.0,100.0,63,Female,Electronics,PayPal
118,Brian Nelson,18827,7,30,2689.5714285714284,306.42857142857144,2020-01-28 22:28:46,2023-06-16 06:15:16,3.0,0,91,1234,41.1,0.42857142857142855,42.86,62,Male,Electronics,Credit Card
119,Deanna Jackson,21299,7,28,3042.714285714286,284.7142857142857,2020-01-04 09:42:02,2023-08-26 21:01:48,3.0,0,19,1330,44.3,0.42857142857142855,42.86,55,Male,Electronics,Credit Card
120,Kevin Tate,12304,5,18,2460.8,187.8,2020-04-29 19:30:35,2022-11-22 00:56:40,2.0,0,297,936,31.2,0.4,40.0,41,Male,Books,Credit Card
121,Stephanie Davidson,11953,4,8,2988.25,158.25,2020-01-14 21:08:23,2021-10-02 00:55:25,3.0,0,713,626,20.9,0.75,75.0,34,Male,Books,Credit Card
122,Jordan Cook,16164,7,20,2309.1428571428573,210.85714285714286,2020-12-09 02:11:30,2023-04-17 04:11:32,4.0,0,151,859,28.6,0.5714285714285714,57.14,41,Male,Home,Credit Card
123,Gene Willis,22880,10,24,2288.0,163.3,2020-02-05 19:47:15,2023-07-31 10:19:55,7.0,0,46,1271,42.4,0.7,70.0,41,Female,Home,Credit Card
124,Dustin Gill,7455,2,7,3727.5,413.0,2022-07-18 08:22:44,2023-08-12 07:10:04,0.0,1,34,389,13.0,0.0,0.0,23,Female,Clothing,Credit Card
125,Tracy Palmer,4708,2,4,2354.0,249.5,2022-07-18 22:34:37,2023-06-30 04:48:27,1.0,1,77,346,11.5,0.5,50.0,34,Female,Books,Cash
126,Ronald Kemp,7596,2,10,3798.0,244.0,2020-09-06 13:06:18,2022-12-29 20:16:23,1.0,0,259,844,28.1,0.5,50.0,56,Male,Books,Credit Card
127,Robert Rivera,9338,3,10,3112.6666666666665,103.0,2022-05-18 15:42:51,2022-11-04 04:44:50,1.0,0,315,169,5.6,0.3333333333333333,33.33,68,Male,Clothing,PayPal
128,Michael Morales,20798,8,25,2599.75,348.625,2020-01-02 09:38:40,2023-05-01 17:44:39,2.0,0,136,1215,40.5,0.25,25.0,35,Male,Books,Credit Card
129,Amanda Jackson,13211,6,17,2201.8333333333335,285.6666666666667,2020-08-15 22:14:29,2022-08-10 11:40:51,3.0,1,401,724,24.1,0.5,50.0,42,Female,Clothing,Cash
130,Jessica Curtis,17654,5,14,3530.8,158.8,2022-03-03 17:28:58,2023-08-01 17:58:44,2.0,0,44,516,17.2,0.4,40.0,51,Female,Clothing,PayPal
131,Stephanie Burch,28943,8,26,3617.875,145.875,2020-11-24 07:36:17,2023-04-18 12:27:01,4.0,0,149,875,29.2,0.5,50.0,29,Male,Books,Credit Card
132,Michael Avila,16192,6,24,2698.6666666666665,204.16666666666666,2020-01-25 18:24:33,2022-12-24 02:59:01,2.0,0,265,1063,35.4,0.3333333333333333,33.33,20,Female,Clothing,Cash
133,Jennifer Thomas,9589,3,5,3196.3333333333335,168.0,2020-04-02 07:23:10,2023-08-20 06:30:45,2.0,1,26,1234,41.1,0.6666666666666666,66.67,42,Male,Electronics,PayPal
134,Jeffrey Kelley,8393,4,9,2098.25,248.0,2020-10-10 12:55:19,2023-02-18 02:23:43,0.0,1,209,860,28.7,0.0,0.0,59,Male,Books,Credit Card
135,Lisa Russell,18851,7,20,2693.0,223.42857142857142,2020-08-21 16:11:19,2023-02-20 06:24:10,1.0,0,207,912,30.4,0.14285714285714285,14.29,48,Male,Books,Credit Card
136,Randy Nguyen,23349,8,27,2918.625,252.5,2020-01-24 20:20:19,2022-03-18 23:53:52,2.0,0,545,784,26.1,0.25,25.0,20,Male,Books,PayPal
137,Dr. David Patel,9580,3,13,3193.3333333333335,171.66666666666666,2021-06-21 10:29:09,2023-02-15 01:27:33,1.0,0,212,603,20.1,0.3333333333333333,33.33,45,Female,Books,Cash
138,Annette Peterson,8202,3,9,2734.0,165.33333333333334,2021-11-02 21:46:37,2023-05-12 18:18:05,3.0,1,125,555,18.5,1.0,100.0,35,Female,Clothing,Credit Card
139,Donald Davidson,5736,3,11,1912.0,156.66666666666666,2020-04-20 02:04:26,2023-02-16 00:07:08,1.0,0,211,1031,34.4,0.3333333333333333,33.33,59,Female,Electronics,Cash
140,Carrie Nguyen,14314,4,13,3578.5,319.5,2021-08-22 07:43:21,2023-07-14 01:07:26,1.0,0,63,690,23.0,0.25,25.0,46,Female,Books,PayPal
141,Chad Dean,11676,4,14,2919.0,272.75,2021-05-06 09:45:28,2023-08-24 12:47:01,1.0,0,21,840,28.0,0.25,25.0,58,Male,Books,Cash
142,Daniel Shaw,10435,3,13,3478.3333333333335,329.3333333333333,2020-11-12 04:46:53,2023-05-31 04:18:31,2.0,0,107,929,31.0,0.6666666666666666,66.67,31,Female,Books,Credit Card
143,Rachael Kelly MD,28052,10,35,2805.2,222.0,2020-01-04 05:40:46,2023-05-13 03:48:18,3.0,0,125,1224,40.8,0.3,30.0,42,Male,Books,Credit Card
144,Dorothy Meyers,13207,5,18,2641.4,205.0,2020-05-10 16:32:33,2023-01-28 07:22:30,2.0,0,230,992,33.1,0.4,40.0,57,Female,Clothing,Credit Card
145,Wendy Dawson,29550,9,29,3283.3333333333335,238.77777777777777,2020-02-26 23:23:27,2023-08-09 21:31:23,4.0,0,36,1259,42.0,0.4444444444444444,44.44,26,Female,Clothing,Cash
146,Ronald Rodgers,14791,4,12,3697.75,118.75,2021-04-30 06:36:41,2022-12-05 03:48:15,2.0,0,284,583,19.4,0.5,50.0,52,Female,Books,Credit Card
147,Kevin White,10811,3,10,3603.6666666666665,324.0,2020-12-27 20:04:11,2022-05-23 05:17:58,0.0,0,480,511,17.0,0.0,0.0,70,Male,Electronics,Cash
