customer_id,customer_name,recency,frequency,monetary,churn,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Code,Customer_Segment,Recency_Group,Frequency_Group,Monetary_Group,Churn_Risk
41,Andrew Garcia,228,6,13607,1,3,4,3,10,343,Loyal Customers,181-365 Days,6-10 Purchases,Medium,Churned
42,Ross Cowan,25,3,6548,0,5,1,1,7,511,New Customers,0-30 Days,3-5 Purchases,Very Low,Low Risk
43,Clifford Davis,60,5,9593,0,4,3,2,9,432,Potential Loyalists,31-60 Days,3-5 Purchases,Low,Low Risk
44,Matthew Farmer,225,5,16375,0,3,3,4,10,334,Need Attention,181-365 Days,3-5 Purchases,High,Moderate Risk
45,Jason Foster,91,2,6977,1,4,1,1,6,411,New Customers,91-180 Days,2 Purchases,Very Low,Churned
46,Gina Simpson,99,7,19650,0,4,4,5,13,445,Champions,91-180 Days,6-10 Purchases,Very High,Low Risk
47,Melanie Duncan,335,3,10807,0,2,1,2,5,212,Hibernating,181-365 Days,3-5 Purchases,Low,High Risk
48,Chris Taylor,456,5,17172,1,1,3,4,8,134,At Risk,365+ Days,3-5 Purchases,High,Churned
49,Stacy Smith,631,4,8325,0,1,2,2,5,122,Hibernating,365+ Days,3-5 Purchases,Low,High Risk
50,Gail Lopez,20,5,15669,0,5,3,4,12,534,Potential Loyalists,0-30 Days,3-5 Purchases,High,Low Risk
51,Nicole Garrison,340,4,10480,1,2,2,2,6,222,Hibernating,181-365 Days,3-5 Purchases,Low,Churned
52,Sandra Schroeder,448,2,5280,0,1,1,1,3,111,Hibernating,365+ Days,2 Purchases,Very Low,High Risk
53,David Kim,299,2,4833,0,2,1,1,4,211,Hibernating,181-365 Days,2 Purchases,Very Low,High Risk
54,Beth Garcia,252,5,17813,0,2,3,4,9,234,At Risk,181-365 Days,3-5 Purchases,High,Medium Risk
55,Jose Cooke,126,5,12581,0,4,3,3,10,433,Potential Loyalists,91-180 Days,3-5 Purchases,Medium,Low Risk
56,Carolyn Keith,135,8,20131,0,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High,Low Risk
57,Spencer Duke,507,3,6606,0,1,1,1,3,111,Hibernating,365+ Days,3-5 Purchases,Very Low,High Risk
58,Paula Nguyen,676,5,10212,0,1,3,2,6,132,Others,365+ Days,3-5 Purchases,Low,Medium Risk
59,David Aguilar,27,6,16868,0,5,4,4,13,544,Champions,0-30 Days,6-10 Purchases,High,Low Risk
60,Mr. Mark Walker,105,5,17465,0,4,3,4,11,434,Potential Loyalists,91-180 Days,3-5 Purchases,High,Low Risk
61,William Strong,369,6,15414,0,2,4,4,10,244,At Risk,365+ Days,6-10 Purchases,High,Medium Risk
62,Melissa Mcknight,247,5,12484,1,2,3,3,8,233,At Risk,181-365 Days,3-5 Purchases,Medium,Churned
63,Dominic Clark,701,2,1630,0,1,1,1,3,111,Hibernating,365+ Days,2 Purchases,Very Low,High Risk
64,Matthew Pham,160,2,4970,0,3,1,1,5,311,Others,91-180 Days,2 Purchases,Very Low,Moderate Risk
65,Anthony Mcmillan,166,6,14844,0,3,4,4,11,344,Loyal Customers,91-180 Days,6-10 Purchases,High,Moderate Risk
66,James Johnson,88,5,11419,0,4,3,3,10,433,Potential Loyalists,61-90 Days,3-5 Purchases,Medium,Low Risk
67,Andrea Scott,0,10,26885,0,5,5,5,15,555,Champions,0-30 Days,6-10 Purchases,Very High,Low Risk
68,Evan Fuller,423,8,24392,0,2,5,5,12,255,At Risk,365+ Days,6-10 Purchases,Very High,Medium Risk
69,Christopher Bush,312,6,14878,0,2,4,4,10,244,At Risk,181-365 Days,6-10 Purchases,High,Medium Risk
70,Miss Sara Black,74,7,16339,0,4,4,4,12,444,Champions,61-90 Days,6-10 Purchases,High,Low Risk
71,Linda Vazquez,62,7,29547,1,4,4,5,13,445,Champions,61-90 Days,6-10 Purchases,Very High,Churned
72,Bradley Collins,106,3,4248,0,4,1,1,6,411,New Customers,91-180 Days,3-5 Purchases,Very Low,Low Risk
73,David Freeman,70,6,19807,0,4,4,5,13,445,Champions,61-90 Days,6-10 Purchases,Very High,Low Risk
74,Aaron Fox,515,3,6452,1,1,1,1,3,111,Hibernating,365+ Days,3-5 Purchases,Very Low,Churned
75,Devin Wilson,126,5,9502,0,4,3,2,9,432,Potential Loyalists,91-180 Days,3-5 Purchases,Low,Low Risk
76,John Carrillo Jr.,103,4,5934,0,4,2,1,7,421,New Customers,91-180 Days,3-5 Purchases,Very Low,Low Risk
77,David Kennedy,208,5,11725,1,3,3,3,9,333,Need Attention,181-365 Days,3-5 Purchases,Medium,Churned
78,Nicholas Mitchell,157,5,13720,0,3,3,3,9,333,Need Attention,91-180 Days,3-5 Purchases,Medium,Moderate Risk
79,Kimberly Kelley,32,6,9338,0,5,4,2,11,542,Potential Loyalists,31-60 Days,6-10 Purchases,Low,Low Risk
80,Angela Walker,888,3,3614,1,1,1,1,3,111,Hibernating,365+ Days,3-5 Purchases,Very Low,Churned
81,Isaac Ingram,357,8,26059,1,2,5,5,12,255,At Risk,181-365 Days,6-10 Purchases,Very High,Churned
82,Cassandra Yu,42,7,25574,0,5,4,5,14,545,Champions,31-60 Days,6-10 Purchases,Very High,Low Risk
83,Kendra White,240,4,7945,0,3,2,2,7,322,Others,181-365 Days,3-5 Purchases,Low,Moderate Risk
84,Sara Palmer,1071,2,3246,1,1,1,1,3,111,Hibernating,365+ Days,2 Purchases,Very Low,Churned
85,Mark Bradford,262,6,13092,0,2,4,3,9,243,At Risk,181-365 Days,6-10 Purchases,Medium,Medium Risk
86,Pamela Oconnell,73,6,16526,0,4,4,4,12,444,Champions,61-90 Days,6-10 Purchases,High,Low Risk
87,Lisa Greene,301,2,7101,1,2,1,1,4,211,Hibernating,181-365 Days,2 Purchases,Very Low,Churned
88,Sandra Anderson,347,2,5756,0,2,1,1,4,211,Hibernating,181-365 Days,2 Purchases,Very Low,High Risk
89,Alice Boyer,356,6,10085,0,2,4,2,8,242,Others,181-365 Days,6-10 Purchases,Low,Medium Risk
90,Edward Bailey,12,5,14717,0,5,3,3,11,533,Potential Loyalists,0-30 Days,3-5 Purchases,Medium,Low Risk
91,Thomas Sandoval,1,7,18782,0,5,4,4,13,544,Champions,0-30 Days,6-10 Purchases,High,Low Risk
92,Tami Brown,75,5,14002,0,4,3,3,10,433,Potential Loyalists,61-90 Days,3-5 Purchases,Medium,Low Risk
93,Peter Dean,315,4,6174,0,2,2,1,5,221,Hibernating,181-365 Days,3-5 Purchases,Very Low,High Risk
94,Duane Anderson,74,6,15746,1,4,4,4,12,444,Champions,61-90 Days,6-10 Purchases,High,Churned
95,Ricky Dudley,8,7,15109,0,5,4,4,13,544,Champions,0-30 Days,6-10 Purchases,High,Low Risk
96,Jerry Vasquez,90,6,21417,0,4,4,5,13,445,Champions,61-90 Days,6-10 Purchases,Very High,Low Risk
97,Kelsey Williams,174,5,12436,0,3,3,3,9,333,Need Attention,91-180 Days,3-5 Purchases,Medium,Moderate Risk
98,Patricia Jordan,166,6,13920,0,3,4,3,10,343,Loyal Customers,91-180 Days,6-10 Purchases,Medium,Moderate Risk
99,Melody Rush,82,9,27864,0,4,5,5,14,455,Champions,61-90 Days,6-10 Purchases,Very High,Low Risk
100,Samantha Booth,39,3,9175,0,5,1,2,8,512,New Customers,31-60 Days,3-5 Purchases,Low,Low Risk
101,Michael Howard,202,5,8932,1,3,3,2,8,332,Others,181-365 Days,3-5 Purchases,Low,Churned
102,Robert Craig,674,5,8200,1,1,3,2,6,132,Others,365+ Days,3-5 Purchases,Low,Churned
103,Jerry Snyder,486,6,15288,0,1,4,4,9,144,At Risk,365+ Days,6-10 Purchases,High,Medium Risk
104,Nicole Best,849,4,8740,0,1,2,2,5,122,Hibernating,365+ Days,3-5 Purchases,Low,High Risk
105,Maria Hudson,89,5,14282,1,4,3,3,10,433,Potential Loyalists,61-90 Days,3-5 Purchases,Medium,Churned
106,Vickie Griffin,7,6,25190,0,5,4,5,14,545,Champions,0-30 Days,6-10 Purchases,Very High,Low Risk
107,Margaret Parks,247,5,11656,0,2,3,3,8,233,At Risk,181-365 Days,3-5 Purchases,Medium,Medium Risk
108,Andrea Smith,9,6,19997,0,5,4,5,14,545,Champions,0-30 Days,6-10 Purchases,Very High,Low Risk
109,Matthew Bennett,56,5,13786,0,5,3,3,11,533,Potential Loyalists,31-60 Days,3-5 Purchases,Medium,Low Risk
110,Cynthia Sanchez,256,6,20022,0,2,4,5,11,245,At Risk,181-365 Days,6-10 Purchases,Very High,Medium Risk
111,Joseph Lynch,323,5,16366,0,2,3,4,9,234,At Risk,181-365 Days,3-5 Purchases,High,Medium Risk
112,Rodney Warner,338,6,9670,0,2,4,2,8,242,Others,181-365 Days,6-10 Purchases,Low,Medium Risk
113,James Williams,89,7,19076,0,4,4,4,12,444,Champions,61-90 Days,6-10 Purchases,High,Low Risk
114,Antonio Estes,333,4,11741,0,2,2,3,7,223,Need Attention,181-365 Days,3-5 Purchases,Medium,High Risk
115,Lisa Black,987,5,10746,0,1,3,2,6,132,Others,365+ Days,3-5 Purchases,Low,Medium Risk
116,Alicia Davis,767,5,15076,0,1,3,4,8,134,At Risk,365+ Days,3-5 Purchases,High,Medium Risk
117,Melissa Mitchell,620,4,15312,0,1,2,4,7,124,Need Attention,365+ Days,3-5 Purchases,High,High Risk
118,Brian Nelson,91,7,18827,0,4,4,4,12,444,Champions,91-180 Days,6-10 Purchases,High,Low Risk
119,Deanna Jackson,19,7,21299,0,5,4,5,14,545,Champions,0-30 Days,6-10 Purchases,Very High,Low Risk
120,Kevin Tate,297,5,12304,0,2,3,3,8,233,At Risk,181-365 Days,3-5 Purchases,Medium,Medium Risk
121,Stephanie Davidson,713,4,11953,0,1,2,3,6,123,Need Attention,365+ Days,3-5 Purchases,Medium,High Risk
122,Jordan Cook,151,7,16164,0,3,4,4,11,344,Loyal Customers,91-180 Days,6-10 Purchases,High,Moderate Risk
123,Gene Willis,46,10,22880,0,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High,Low Risk
124,Dustin Gill,34,2,7455,1,5,1,1,7,511,New Customers,31-60 Days,2 Purchases,Very Low,Churned
125,Tracy Palmer,77,2,4708,1,4,1,1,6,411,New Customers,61-90 Days,2 Purchases,Very Low,Churned
126,Ronald Kemp,259,2,7596,0,2,1,1,4,211,Hibernating,181-365 Days,2 Purchases,Very Low,High Risk
127,Robert Rivera,315,3,9338,0,2,1,2,5,212,Hibernating,181-365 Days,3-5 Purchases,Low,High Risk
128,Michael Morales,136,8,20798,0,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High,Low Risk
129,Amanda Jackson,401,6,13211,1,2,4,3,9,243,At Risk,365+ Days,6-10 Purchases,Medium,Churned
130,Jessica Curtis,44,5,17654,0,5,3,4,12,534,Potential Loyalists,31-60 Days,3-5 Purchases,High,Low Risk
131,Stephanie Burch,149,8,28943,0,3,5,5,13,355,Loyal Customers,91-180 Days,6-10 Purchases,Very High,Moderate Risk
132,Michael Avila,265,6,16192,0,2,4,4,10,244,At Risk,181-365 Days,6-10 Purchases,High,Medium Risk
133,Jennifer Thomas,26,3,9589,1,5,1,2,8,512,New Customers,0-30 Days,3-5 Purchases,Low,Churned
134,Jeffrey Kelley,209,4,8393,1,3,2,2,7,322,Others,181-365 Days,3-5 Purchases,Low,Churned
135,Lisa Russell,207,7,18851,0,3,4,4,11,344,Loyal Customers,181-365 Days,6-10 Purchases,High,Moderate Risk
136,Randy Nguyen,545,8,23349,0,1,5,5,11,155,At Risk,365+ Days,6-10 Purchases,Very High,Medium Risk
137,Dr. David Patel,212,3,9580,0,3,1,2,6,312,Others,181-365 Days,3-5 Purchases,Low,Moderate Risk
138,Annette Peterson,125,3,8202,1,4,1,2,7,412,New Customers,91-180 Days,3-5 Purchases,Low,Churned
139,Donald Davidson,211,3,5736,0,3,1,1,5,311,Others,181-365 Days,3-5 Purchases,Very Low,Moderate Risk
140,Carrie Nguyen,63,4,14314,0,4,2,3,9,423,Potential Loyalists,61-90 Days,3-5 Purchases,Medium,Low Risk
141,Chad Dean,21,4,11676,0,5,2,3,10,523,Potential Loyalists,0-30 Days,3-5 Purchases,Medium,Low Risk
142,Daniel Shaw,107,3,10435,0,4,1,2,7,412,New Customers,91-180 Days,3-5 Purchases,Low,Low Risk
143,Rachael Kelly MD,125,10,28052,0,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High,Low Risk
144,Dorothy Meyers,230,5,13207,0,3,3,3,9,333,Need Attention,181-365 Days,3-5 Purchases,Medium,Moderate Risk
145,Wendy Dawson,36,9,29550,0,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High,Low Risk
146,Ronald Rodgers,284,4,14791,0,2,2,3,7,223,Need Attention,181-365 Days,3-5 Purchases,Medium,High Risk
147,Kevin White,480,3,10811,0,1,1,2,4,112,Hibernating,365+ Days,3-5 Purchases,Low,High Risk
148,Ashley Mathews,202,6,15591,1,3,4,4,11,344,Loyal Customers,181-365 Days,6-10 Purchases,High,Churned
149,Taylor Massey,388,6,17933,0,2,4,4,10,244,At Risk,365+ Days,6-10 Purchases,High,Medium Risk
150,Sarah Larsen,213,4,12774,0,3,2,3,8,323,Need Attention,181-365 Days,3-5 Purchases,Medium,Moderate Risk
151,Marcus Price,493,5,14501,1,1,3,3,7,133,At Risk,365+ Days,3-5 Purchases,Medium,Churned
152,Joseph Massey,55,4,10468,0,5,2,2,9,522,Potential Loyalists,31-60 Days,3-5 Purchases,Low,Low Risk
153,Robert Palmer,245,3,6623,0,2,1,1,4,211,Hibernating,181-365 Days,3-5 Purchases,Very Low,High Risk
154,John Lewis,100,9,25380,0,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High,Low Risk
155,Brady Taylor,167,5,12642,0,3,3,3,9,333,Need Attention,91-180 Days,3-5 Purchases,Medium,Moderate Risk
156,Michael Lopez,37,9,22874,0,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High,Low Risk
157,Zachary Cohen MD,40,3,6157,0,5,1,1,7,511,New Customers,31-60 Days,3-5 Purchases,Very Low,Low Risk
158,Troy Webb,129,5,16971,1,4,3,4,11,434,Potential Loyalists,91-180 Days,3-5 Purchases,High,Churned
159,Eric Garrett,39,4,12853,0,5,2,3,10,523,Potential Loyalists,31-60 Days,3-5 Purchases,Medium,Low Risk
160,Terri Wilcox,80,4,15370,0,4,2,4,10,424,Potential Loyalists,61-90 Days,3-5 Purchases,High,Low Risk
161,Ashley Lane,58,6,9306,1,5,4,2,11,542,Potential Loyalists,31-60 Days,6-10 Purchases,Low,Churned
162,Dr. Russell Spence,145,5,15101,1,3,3,4,10,334,Need Attention,91-180 Days,3-5 Purchases,High,Churned
163,Courtney Silva,214,5,15047,0,3,3,4,10,334,Need Attention,181-365 Days,3-5 Purchases,High,Moderate Risk
164,Trevor Deleon,55,8,29989,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High,Churned
165,Scott Hunt,267,3,6881,0,2,1,1,4,211,Hibernating,181-365 Days,3-5 Purchases,Very Low,High Risk
166,Jason Gamble,242,3,7591,0,3,1,1,5,311,Others,181-365 Days,3-5 Purchases,Very Low,Moderate Risk
167,Chad Johnson,24,7,22147,0,5,4,5,14,545,Champions,0-30 Days,6-10 Purchases,Very High,Low Risk
168,James Russell,211,7,14442,1,3,4,3,10,343,Loyal Customers,181-365 Days,6-10 Purchases,Medium,Churned
169,Alicia Herrera,207,3,3803,0,3,1,1,5,311,Others,181-365 Days,3-5 Purchases,Very Low,Moderate Risk
170,Andrew Ponce,923,2,5426,0,1,1,1,3,111,Hibernating,365+ Days,2 Purchases,Very Low,High Risk
171,Todd Hahn,313,4,10992,1,2,2,2,6,222,Hibernating,181-365 Days,3-5 Purchases,Low,Churned
172,Greg Stanley,15,7,13223,1,5,4,3,12,543,Loyal Customers,0-30 Days,6-10 Purchases,Medium,Churned
173,Nicole Dunn,106,5,13744,0,4,3,3,10,433,Potential Loyalists,91-180 Days,3-5 Purchases,Medium,Low Risk
174,Linda Johnson,77,7,18810,0,4,4,4,12,444,Champions,61-90 Days,6-10 Purchases,High,Low Risk
175,Peter Jones,23,10,25850,0,5,5,5,15,555,Champions,0-30 Days,6-10 Purchases,Very High,Low Risk
176,Thomas Lyons,572,4,10131,0,1,2,2,5,122,Hibernating,365+ Days,3-5 Purchases,Low,High Risk
177,Hunter Coleman,188,3,9008,0,3,1,2,6,312,Others,181-365 Days,3-5 Purchases,Low,Moderate Risk
178,Alicia Torres,240,5,10246,0,3,3,2,8,332,Others,181-365 Days,3-5 Purchases,Low,Moderate Risk
179,Raymond Cooper,158,6,21133,0,3,4,5,12,345,Loyal Customers,91-180 Days,6-10 Purchases,Very High,Moderate Risk
180,Victoria Brown,338,5,17410,0,2,3,4,9,234,At Risk,181-365 Days,3-5 Purchases,High,Medium Risk
181,Jeffrey Aguilar,271,3,8615,0,2,1,2,5,212,Hibernating,181-365 Days,3-5 Purchases,Low,High Risk
182,Jennifer Morrison,106,5,16849,1,4,3,4,11,434,Potential Loyalists,91-180 Days,3-5 Purchases,High,Churned
183,Steven Bond,185,9,18355,0,3,5,4,12,354,Loyal Customers,181-365 Days,6-10 Purchases,High,Moderate Risk
184,Kimberly Tanner,118,7,19182,0,4,4,4,12,444,Champions,91-180 Days,6-10 Purchases,High,Low Risk
185,Emily Carter,12,5,18565,1,5,3,4,12,534,Potential Loyalists,0-30 Days,3-5 Purchases,High,Churned
186,Christopher Jackson,249,7,21730,0,2,4,5,11,245,At Risk,181-365 Days,6-10 Purchases,Very High,Medium Risk
187,Jennifer Lee,104,5,10239,0,4,3,2,9,432,Potential Loyalists,91-180 Days,3-5 Purchases,Low,Low Risk
188,Garrett Richardson,26,5,14101,0,5,3,3,11,533,Potential Loyalists,0-30 Days,3-5 Purchases,Medium,Low Risk
189,Susan Baird,257,3,10520,0,2,1,2,5,212,Hibernating,181-365 Days,3-5 Purchases,Low,High Risk
190,Susan Mcdaniel,181,7,21718,0,3,4,5,12,345,Loyal Customers,181-365 Days,6-10 Purchases,Very High,Moderate Risk
191,Patricia Bautista,125,3,7322,0,4,1,1,6,411,New Customers,91-180 Days,3-5 Purchases,Very Low,Low Risk
192,Aaron Barber,502,4,15844,1,1,2,4,7,124,Need Attention,365+ Days,3-5 Purchases,High,Churned
193,Marco Perez,359,2,2732,1,2,1,1,4,211,Hibernating,181-365 Days,2 Purchases,Very Low,Churned
194,Tracie Huang,313,5,14236,0,2,3,3,8,233,At Risk,181-365 Days,3-5 Purchases,Medium,Medium Risk
195,Mr. Steven Williams,193,4,11254,0,3,2,2,7,322,Others,181-365 Days,3-5 Purchases,Low,Moderate Risk
196,Patricia Davis,524,5,12081,0,1,3,3,7,133,At Risk,365+ Days,3-5 Purchases,Medium,Medium Risk
197,Samuel Hoffman,307,5,16963,0,2,3,4,9,234,At Risk,181-365 Days,3-5 Purchases,High,Medium Risk
198,Elizabeth Anderson,10,4,11621,0,5,2,3,10,523,Potential Loyalists,0-30 Days,3-5 Purchases,Medium,Low Risk
199,Derek Snow,21,5,14745,0,5,3,3,11,533,Potential Loyalists,0-30 Days,3-5 Purchases,Medium,Low Risk
200,Kimberly Holland,68,3,7781,0,4,1,2,7,412,New Customers,61-90 Days,3-5 Purchases,Low,Low Risk
201,Angel Brown,455,3,9158,0,1,1,2,4,112,Hibernating,365+ Days,3-5 Purchases,Low,High Risk
202,Nicole Stein,294,5,11379,0,2,3,3,8,233,At Risk,181-365 Days,3-5 Purchases,Medium,Medium Risk
203,Cassidy Rowe,154,7,17494,0,3,4,4,11,344,Loyal Customers,91-180 Days,6-10 Purchases,High,Moderate Risk
204,Anthony Thompson,82,4,7435,0,4,2,1,7,421,New Customers,61-90 Days,3-5 Purchases,Very Low,Low Risk
205,William Fowler DDS,327,3,7931,0,2,1,2,5,212,Hibernating,181-365 Days,3-5 Purchases,Low,High Risk
206,Leslie West,89,9,33113,1,4,5,5,14,455,Champions,61-90 Days,6-10 Purchases,Very High,Churned
207,Anthony Ware,247,2,8113,0,2,1,2,5,212,Hibernating,181-365 Days,2 Purchases,Low,High Risk
208,Deborah Medina,698,5,12090,0,1,3,3,7,133,At Risk,365+ Days,3-5 Purchases,Medium,Medium Risk
209,Laura Garner,85,4,9495,0,4,2,2,8,422,Potential Loyalists,61-90 Days,3-5 Purchases,Low,Low Risk
210,Dawn Wilson,204,3,10271,0,3,1,2,6,312,Others,181-365 Days,3-5 Purchases,Low,Moderate Risk
211,Michael Kaufman,544,4,7402,0,1,2,1,4,121,Hibernating,365+ Days,3-5 Purchases,Very Low,High Risk
212,Denise Allen,89,3,9094,0,4,1,2,7,412,New Customers,61-90 Days,3-5 Purchases,Low,Low Risk
213,Joel Brown,971,2,4257,0,1,1,1,3,111,Hibernating,365+ Days,2 Purchases,Very Low,High Risk
214,Debra Cobb,82,6,20552,0,4,4,5,13,445,Champions,61-90 Days,6-10 Purchases,Very High,Low Risk
215,Thomas Hoffman,59,3,5751,0,5,1,1,7,511,New Customers,31-60 Days,3-5 Purchases,Very Low,Low Risk
216,Melissa Ortega,9,8,26378,0,5,5,5,15,555,Champions,0-30 Days,6-10 Purchases,Very High,Low Risk
217,Donna Meyer,133,7,21199,0,4,4,5,13,445,Champions,91-180 Days,6-10 Purchases,Very High,Low Risk
218,Ryan Miller,184,3,10551,0,3,1,2,6,312,Others,181-365 Days,3-5 Purchases,Low,Moderate Risk
219,Taylor Newman,359,4,6719,0,2,2,1,5,221,Hibernating,181-365 Days,3-5 Purchases,Very Low,High Risk
220,Ashley Dominguez,355,4,7900,0,2,2,2,6,222,Hibernating,181-365 Days,3-5 Purchases,Low,High Risk
221,Chris Wang,529,1,1682,0,1,1,1,3,111,Hibernating,365+ Days,1 Purchase,Very Low,High Risk
222,Joe Lee,1165,1,1858,0,1,1,1,3,111,Hibernating,365+ Days,1 Purchase,Very Low,High Risk
223,Kaitlyn Lee,100,7,12526,0,4,4,3,11,443,Loyal Customers,91-180 Days,6-10 Purchases,Medium,Low Risk
224,Herbert Holland,573,3,7708,0,1,1,1,3,111,Hibernating,365+ Days,3-5 Purchases,Very Low,High Risk
225,Jennifer Roberts,169,9,27373,0,3,5,5,13,355,Loyal Customers,91-180 Days,6-10 Purchases,Very High,Moderate Risk
226,Alejandra Snyder,791,2,7801,0,1,1,2,4,112,Hibernating,365+ Days,2 Purchases,Low,High Risk
227,Amanda Sullivan,137,5,15893,0,4,3,4,11,434,Potential Loyalists,91-180 Days,3-5 Purchases,High,Low Risk
228,Alyssa Watkins,1343,1,4391,0,1,1,1,3,111,Hibernating,365+ Days,1 Purchase,Very Low,High Risk
229,Scott Welch,293,4,8695,1,2,2,2,6,222,Hibernating,181-365 Days,3-5 Purchases,Low,Churned
